hex_id,h3_resolution,source_h3_resolution,source_child_hex_count,acceptance_low,acceptance_medium,acceptance_high
891f0c99487ffff,9,10,7,0.3991,0.5769,0.7769
891f0c9948fffff,9,10,3,0.507,0.7033,0.897
891f0c99493ffff,9,10,7,0.5161,0.7053,0.8857
891f0c99497ffff,9,10,7,0.476,0.647,0.8429
891f0c9949bffff,9,10,4,0.5065,0.668,0.8712
891f0c994a3ffff,9,10,7,0.4834,0.6651,0.862
891f0c994a7ffff,9,10,7,0.4571,0.6409,0.8456
891f0c994abffff,9,10,1,0.418,0.578,0.771
891f0c994afffff,9,10,2,0.5305,0.7115,0.897
891f0c994b3ffff,9,10,7,0.4136,0.5944,0.7941
891f0c994b7ffff,9,10,7,0.4024,0.578,0.7857
891f0c994bbffff,9,10,7,0.4899,0.6687,0.8603
891f0c99593ffff,9,10,1,0.367,0.562,0.756
891f0c995d3ffff,9,10,5,0.3202,0.514,0.7228
891f0c995dbffff,9,10,1,0.682,0.867,1.0
891f0c9a013ffff,9,10,4,0.0925,0.2453,0.453
891f0c9a017ffff,9,10,3,0.0203,0.209,0.398
891f0c9a01bffff,9,10,2,0.011,0.182,0.3965
891f0c9a043ffff,9,10,7,0.0691,0.2459,0.4379
891f0c9a04bffff,9,10,7,0.0586,0.2193,0.4243
891f0c9a04fffff,9,10,2,0.0475,0.231,0.4395
891f0c9a053ffff,9,10,7,0.1364,0.3233,0.5177
891f0c9a057ffff,9,10,5,0.0204,0.163,0.3676
891f0c9a05bffff,9,10,7,0.1453,0.3234,0.5241
891f0c9a083ffff,9,10,7,0.037,0.2163,0.4171
891f0c9a087ffff,9,10,7,0.1194,0.2883,0.487
891f0c9a08bffff,9,10,7,0.0369,0.1633,0.3723
891f0c9a08fffff,9,10,7,0.112,0.2821,0.4773
891f0c9a093ffff,9,10,7,0.079,0.2321,0.4374
891f0c9a097ffff,9,10,7,0.122,0.3004,0.5021
891f0c9a09bffff,9,10,7,0.0527,0.2086,0.4044
891f0c9a0b3ffff,9,10,4,0.1693,0.336,0.5377
891f0c9a0bbffff,9,10,7,0.0926,0.2627,0.4581
891f0c9a0c3ffff,9,10,7,0.0276,0.1377,0.35
891f0c9a0c7ffff,9,10,7,0.0,0.0654,0.2776
891f0c9a0cbffff,9,10,7,0.2341,0.4181,0.6134
891f0c9a0cfffff,9,10,7,0.0514,0.1849,0.3937
891f0c9a0d3ffff,9,10,7,0.0386,0.2266,0.4189
891f0c9a0d7ffff,9,10,7,0.016,0.1383,0.3356
891f0c9a0dbffff,9,10,7,0.167,0.348,0.5424
891f0c9a20bffff,9,10,5,0.2966,0.4812,0.6726
891f0c9a213ffff,9,10,2,0.14,0.2955,0.5115
891f0c9a21bffff,9,10,7,0.2009,0.3783,0.5814
891f0c9a243ffff,9,10,7,0.1624,0.3349,0.5283
891f0c9a247ffff,9,10,7,0.1769,0.3531,0.5546
891f0c9a24bffff,9,10,7,0.0844,0.2569,0.4523
891f0c9a24fffff,9,10,7,0.1457,0.3044,0.5011
891f0c9a253ffff,9,10,7,0.0523,0.2377,0.437
891f0c9a257ffff,9,10,7,0.1344,0.328,0.5187
891f0c9a25bffff,9,10,7,0.1559,0.3256,0.5203
891f0c9a263ffff,9,10,6,0.1222,0.3023,0.5063
891f0c9a267ffff,9,10,1,0.209,0.414,0.611
891f0c9a26bffff,9,10,7,0.112,0.2826,0.4954
891f0c9a26fffff,9,10,7,0.1163,0.2706,0.4669
891f0c9a273ffff,9,10,5,0.1214,0.3058,0.5188
891f0c9a27bffff,9,10,7,0.2056,0.381,0.5857
891f0c9a283ffff,9,10,7,0.094,0.2677,0.478
891f0c9a287ffff,9,10,6,0.0493,0.2243,0.4228
891f0c9a28bffff,9,10,7,0.1231,0.2891,0.4831
891f0c9a28fffff,9,10,2,0.0955,0.2385,0.454
891f0c9a293ffff,9,10,7,0.1334,0.3141,0.5204
891f0c9a297ffff,9,10,7,0.171,0.3494,0.5449
891f0c9a29bffff,9,10,7,0.0594,0.2119,0.4164
891f0c9a2b3ffff,9,10,2,0.1305,0.264,0.47
891f0c9a2c3ffff,9,10,7,0.0407,0.1814,0.3867
891f0c9a2c7ffff,9,10,7,0.0654,0.2269,0.4277
891f0c9a2cbffff,9,10,7,0.0467,0.196,0.3967
891f0c9a2cfffff,9,10,7,0.0381,0.2027,0.3957
891f0c9a2d3ffff,9,10,7,0.1009,0.2701,0.4691
891f0c9a2d7ffff,9,10,7,0.0416,0.2089,0.4064
891f0c9a2dbffff,9,10,7,0.0136,0.1856,0.3934
891f0c9a403ffff,9,10,7,0.2837,0.4717,0.6813
891f0c9a407ffff,9,10,7,0.1159,0.2981,0.5
891f0c9a40bffff,9,10,7,0.333,0.5159,0.7036
891f0c9a40fffff,9,10,7,0.1624,0.3336,0.5336
891f0c9a413ffff,9,10,7,0.4626,0.6476,0.8511
891f0c9a417ffff,9,10,7,0.2527,0.4489,0.65
891f0c9a41bffff,9,10,7,0.4844,0.6726,0.8694
891f0c9a423ffff,9,10,7,0.0934,0.273,0.49
891f0c9a427ffff,9,10,7,0.1407,0.32,0.522
891f0c9a42bffff,9,10,7,0.1911,0.3601,0.5599
891f0c9a42fffff,9,10,7,0.1067,0.2779,0.4873
891f0c9a433ffff,9,10,7,0.2266,0.4027,0.6056
891f0c9a437ffff,9,10,7,0.145,0.3221,0.5209
891f0c9a43bffff,9,10,7,0.1247,0.281,0.4719
891f0c9a443ffff,9,10,7,0.3739,0.5544,0.7636
891f0c9a447ffff,9,10,7,0.333,0.507,0.7067
891f0c9a44bffff,9,10,7,0.3989,0.5779,0.7871
891f0c9a44fffff,9,10,7,0.4079,0.6049,0.8004
891f0c9a453ffff,9,10,7,0.4099,0.5821,0.7666
891f0c9a457ffff,9,10,7,0.4017,0.5707,0.7687
891f0c9a45bffff,9,10,7,0.3643,0.541,0.7449
891f0c9a463ffff,9,10,7,0.0336,0.163,0.362
891f0c9a467ffff,9,10,7,0.0831,0.2603,0.4643
891f0c9a46bffff,9,10,7,0.1277,0.2924,0.483
891f0c9a46fffff,9,10,7,0.0426,0.1731,0.3693
891f0c9a473ffff,9,10,7,0.2086,0.3916,0.5957
891f0c9a477ffff,9,10,7,0.0497,0.2224,0.4241
891f0c9a47bffff,9,10,7,0.1651,0.3517,0.5524
891f0c9a483ffff,9,10,7,0.414,0.5941,0.7724
891f0c9a487ffff,9,10,7,0.4707,0.6519,0.855
891f0c9a48bffff,9,10,7,0.3946,0.5781,0.7749
891f0c9a48fffff,9,10,7,0.4263,0.6041,0.7936
891f0c9a493ffff,9,10,7,0.2967,0.4799,0.6736
891f0c9a497ffff,9,10,7,0.3526,0.5251,0.725
891f0c9a49bffff,9,10,7,0.4863,0.6706,0.8647
891f0c9a4a3ffff,9,10,7,0.2141,0.3963,0.608
891f0c9a4a7ffff,9,10,7,0.1694,0.3211,0.5326
891f0c9a4abffff,9,10,7,0.188,0.3656,0.5684
891f0c9a4afffff,9,10,7,0.0727,0.2347,0.4307
891f0c9a4b3ffff,9,10,7,0.3583,0.5317,0.7321
891f0c9a4b7ffff,9,10,7,0.2493,0.4259,0.6306
891f0c9a4bbffff,9,10,7,0.2559,0.434,0.6366
891f0c9a4c3ffff,9,10,7,0.398,0.5769,0.7857
891f0c9a4c7ffff,9,10,7,0.4057,0.588,0.7856
891f0c9a4cbffff,9,10,7,0.377,0.5617,0.768
891f0c9a4cfffff,9,10,7,0.3967,0.5817,0.7794
891f0c9a4d3ffff,9,10,7,0.504,0.6719,0.8764
891f0c9a4d7ffff,9,10,7,0.3859,0.5587,0.7544
891f0c9a4dbffff,9,10,7,0.419,0.5917,0.7686
891f0c9a513ffff,9,10,2,0.1835,0.3485,0.55
891f0c9a543ffff,9,10,5,0.1632,0.3378,0.5346
891f0c9a54bffff,9,10,7,0.097,0.2581,0.4604
891f0c9a54fffff,9,10,2,0.123,0.323,0.5305
891f0c9a553ffff,9,10,6,0.1988,0.3882,0.5767
891f0c9a55bffff,9,10,7,0.137,0.317,0.5229
891f0c9a583ffff,9,10,7,0.262,0.4331,0.6396
891f0c9a587ffff,9,10,7,0.247,0.4299,0.6251
891f0c9a58bffff,9,10,7,0.2251,0.4056,0.5926
891f0c9a58fffff,9,10,5,0.2778,0.4588,0.667
891f0c9a593ffff,9,10,7,0.4171,0.6036,0.7899
891f0c9a597ffff,9,10,7,0.2841,0.471,0.6684
891f0c9a59bffff,9,10,7,0.3637,0.5456,0.7387
891f0c9a5c3ffff,9,10,7,0.0656,0.2191,0.4137
891f0c9a5c7ffff,9,10,7,0.1306,0.2984,0.5077
891f0c9a5cbffff,9,10,7,0.1051,0.2857,0.4817
891f0c9a5cfffff,9,10,5,0.106,0.2842,0.4772
891f0c9a5d3ffff,9,10,7,0.142,0.3047,0.5046
891f0c9a5d7ffff,9,10,7,0.1959,0.3739,0.5673
891f0c9a5dbffff,9,10,7,0.1143,0.2697,0.4691
891f0c9a603ffff,9,10,7,0.3047,0.4781,0.674
891f0c9a607ffff,9,10,7,0.3056,0.4994,0.6956
891f0c9a60bffff,9,10,7,0.3169,0.502,0.6991
891f0c9a60fffff,9,10,7,0.2906,0.4773,0.6761
891f0c9a613ffff,9,10,7,0.409,0.5909,0.7881
891f0c9a617ffff,9,10,7,0.4406,0.619,0.8196
891f0c9a61bffff,9,10,7,0.3387,0.5227,0.7369
891f0c9a623ffff,9,10,7,0.2977,0.479,0.6789
891f0c9a627ffff,9,10,7,0.1487,0.3164,0.5239
891f0c9a62bffff,9,10,7,0.2177,0.3986,0.5824
891f0c9a62fffff,9,10,7,0.1676,0.3503,0.5497
891f0c9a633ffff,9,10,7,0.3281,0.5067,0.7097
891f0c9a637ffff,9,10,7,0.2603,0.4474,0.6496
891f0c9a63bffff,9,10,7,0.3353,0.5171,0.7191
891f0c9a643ffff,9,10,7,0.258,0.434,0.6276
891f0c9a647ffff,9,10,7,0.3096,0.4869,0.6931
891f0c9a64bffff,9,10,7,0.2774,0.4636,0.6731
891f0c9a64fffff,9,10,7,0.2801,0.4654,0.6576
891f0c9a653ffff,9,10,7,0.3163,0.4999,0.6886
891f0c9a657ffff,9,10,7,0.3116,0.4947,0.6931
891f0c9a65bffff,9,10,7,0.2019,0.3707,0.5706
891f0c9a663ffff,9,10,7,0.2686,0.4423,0.6529
891f0c9a667ffff,9,10,7,0.1566,0.3294,0.5293
891f0c9a66bffff,9,10,7,0.2251,0.415,0.617
891f0c9a66fffff,9,10,7,0.1207,0.2821,0.48
891f0c9a673ffff,9,10,7,0.3091,0.4927,0.6933
891f0c9a677ffff,9,10,7,0.2446,0.4187,0.6259
891f0c9a67bffff,9,10,7,0.177,0.3404,0.5477
891f0c9a683ffff,9,10,7,0.3797,0.5469,0.7467
891f0c9a687ffff,9,10,7,0.365,0.5419,0.7359
891f0c9a68bffff,9,10,7,0.3014,0.4891,0.6911
891f0c9a68fffff,9,10,7,0.3843,0.5621,0.7634
891f0c9a693ffff,9,10,7,0.4096,0.5834,0.7817
891f0c9a697ffff,9,10,7,0.3954,0.5737,0.77
891f0c9a69bffff,9,10,7,0.3607,0.5394,0.7243
891f0c9a6a3ffff,9,10,7,0.2574,0.442,0.642
891f0c9a6a7ffff,9,10,7,0.1877,0.367,0.5666
891f0c9a6abffff,9,10,7,0.288,0.4751,0.6764
891f0c9a6afffff,9,10,7,0.3443,0.5329,0.7329
891f0c9a6b3ffff,9,10,7,0.2771,0.449,0.6494
891f0c9a6b7ffff,9,10,7,0.2909,0.4729,0.6769
891f0c9a6bbffff,9,10,7,0.3934,0.5617,0.7603
891f0c9a6c3ffff,9,10,7,0.3719,0.567,0.7749
891f0c9a6c7ffff,9,10,7,0.3277,0.5173,0.7223
891f0c9a6cbffff,9,10,7,0.3781,0.5514,0.7594
891f0c9a6cfffff,9,10,7,0.3594,0.5366,0.7364
891f0c9a6d3ffff,9,10,7,0.4257,0.6069,0.798
891f0c9a6d7ffff,9,10,7,0.343,0.52,0.7104
891f0c9a6dbffff,9,10,7,0.409,0.5854,0.7813
891f0c9b003ffff,9,10,7,0.3667,0.5449,0.7477
891f0c9b007ffff,9,10,7,0.46,0.641,0.836
891f0c9b00bffff,9,10,7,0.524,0.7061,0.9107
891f0c9b00fffff,9,10,7,0.4524,0.628,0.8247
891f0c9b013ffff,9,10,7,0.423,0.6024,0.8047
891f0c9b017ffff,9,10,7,0.4163,0.6033,0.7967
891f0c9b01bffff,9,10,7,0.4667,0.6476,0.852
891f0c9b023ffff,9,10,7,0.4601,0.6306,0.8194
891f0c9b027ffff,9,10,7,0.4649,0.6399,0.8447
891f0c9b02bffff,9,10,7,0.5334,0.72,0.9037
891f0c9b02fffff,9,10,7,0.5384,0.718,0.9123
891f0c9b033ffff,9,10,7,0.5169,0.6911,0.8984
891f0c9b037ffff,9,10,7,0.4704,0.642,0.85
891f0c9b03bffff,9,10,7,0.399,0.5749,0.775
891f0c9b043ffff,9,10,7,0.4003,0.5821,0.7903
891f0c9b047ffff,9,10,7,0.5533,0.7214,0.8924
891f0c9b04bffff,9,10,7,0.327,0.5057,0.7057
891f0c9b04fffff,9,10,7,0.3409,0.5203,0.7284
891f0c9b053ffff,9,10,7,0.4767,0.6619,0.8394
891f0c9b057ffff,9,10,7,0.4003,0.5961,0.784
891f0c9b05bffff,9,10,7,0.4367,0.6186,0.8196
891f0c9b063ffff,9,10,7,0.4849,0.6497,0.8521
891f0c9b067ffff,9,10,7,0.5387,0.7174,0.9134
891f0c9b06bffff,9,10,7,0.4484,0.6207,0.8209
891f0c9b06fffff,9,10,7,0.5126,0.6806,0.8593
891f0c9b073ffff,9,10,7,0.5273,0.6986,0.8796
891f0c9b077ffff,9,10,7,0.4401,0.63,0.8304
891f0c9b07bffff,9,10,7,0.4043,0.5886,0.7784
891f0c9b083ffff,9,10,7,0.424,0.6087,0.8133
891f0c9b087ffff,9,10,7,0.3407,0.5149,0.7139
891f0c9b08bffff,9,10,7,0.343,0.5157,0.7101
891f0c9b08fffff,9,10,7,0.3934,0.5799,0.7759
891f0c9b093ffff,9,10,7,0.3489,0.5347,0.7413
891f0c9b097ffff,9,10,7,0.4356,0.6221,0.8201
891f0c9b09bffff,9,10,7,0.3546,0.5357,0.7351
891f0c9b0a3ffff,9,10,7,0.3381,0.5193,0.7173
891f0c9b0a7ffff,9,10,7,0.3681,0.5494,0.7577
891f0c9b0abffff,9,10,7,0.4586,0.6384,0.8296
891f0c9b0afffff,9,10,7,0.4856,0.6734,0.8714
891f0c9b0b3ffff,9,10,7,0.4291,0.6021,0.7883
891f0c9b0b7ffff,9,10,7,0.4141,0.584,0.7946
891f0c9b0bbffff,9,10,7,0.3666,0.5533,0.7629
891f0c9b0c3ffff,9,10,7,0.3911,0.5636,0.7661
891f0c9b0c7ffff,9,10,7,0.3744,0.5569,0.7471
891f0c9b0cbffff,9,10,7,0.3929,0.5614,0.7591
891f0c9b0cfffff,9,10,7,0.3787,0.5597,0.7566
891f0c9b0d3ffff,9,10,7,0.3947,0.5799,0.7666
891f0c9b0d7ffff,9,10,7,0.3983,0.5806,0.7669
891f0c9b0dbffff,9,10,7,0.4207,0.5944,0.7991
891f0c9b103ffff,9,10,7,0.1873,0.3674,0.5539
891f0c9b107ffff,9,10,7,0.2004,0.3766,0.5916
891f0c9b10bffff,9,10,7,0.2911,0.4686,0.6694
891f0c9b10fffff,9,10,7,0.2317,0.42,0.6203
891f0c9b113ffff,9,10,7,0.229,0.4206,0.6267
891f0c9b117ffff,9,10,7,0.1326,0.302,0.512
891f0c9b11bffff,9,10,7,0.2564,0.4423,0.643
891f0c9b123ffff,9,10,7,0.379,0.5644,0.7759
891f0c9b127ffff,9,10,7,0.3853,0.5629,0.7624
891f0c9b12bffff,9,10,7,0.3357,0.513,0.7091
891f0c9b12fffff,9,10,7,0.2806,0.4616,0.6563
891f0c9b133ffff,9,10,7,0.2931,0.4663,0.6651
891f0c9b137ffff,9,10,7,0.2636,0.4411,0.6431
891f0c9b13bffff,9,10,7,0.2991,0.4886,0.6923
891f0c9b143ffff,9,10,7,0.4326,0.6196,0.814
891f0c9b147ffff,9,10,7,0.3526,0.5344,0.7204
891f0c9b14bffff,9,10,7,0.4637,0.638,0.8467
891f0c9b14fffff,9,10,7,0.458,0.6304,0.8216
891f0c9b153ffff,9,10,7,0.4457,0.621,0.8243
891f0c9b157ffff,9,10,7,0.3537,0.5416,0.7394
891f0c9b15bffff,9,10,7,0.5006,0.6701,0.8827
891f0c9b163ffff,9,10,7,0.3047,0.4937,0.6814
891f0c9b167ffff,9,10,7,0.3641,0.554,0.7579
891f0c9b16bffff,9,10,7,0.2109,0.3936,0.5907
891f0c9b16fffff,9,10,7,0.277,0.4571,0.6657
891f0c9b173ffff,9,10,7,0.3536,0.5247,0.7299
891f0c9b177ffff,9,10,7,0.3037,0.4809,0.6757
891f0c9b17bffff,9,10,7,0.2653,0.4433,0.6447
891f0c9b183ffff,9,10,7,0.2049,0.396,0.6004
891f0c9b187ffff,9,10,7,0.0099,0.1317,0.3323
891f0c9b18bffff,9,10,7,0.2867,0.4656,0.6631
891f0c9b18fffff,9,10,7,0.174,0.3591,0.5481
891f0c9b193ffff,9,10,7,0.2609,0.4387,0.6309
891f0c9b197ffff,9,10,7,0.0527,0.2289,0.4194
891f0c9b19bffff,9,10,7,0.2343,0.4246,0.6204
891f0c9b1a3ffff,9,10,7,0.1359,0.3167,0.5153
891f0c9b1a7ffff,9,10,7,0.1561,0.329,0.5246
891f0c9b1abffff,9,10,7,0.1383,0.2796,0.4884
891f0c9b1afffff,9,10,7,0.158,0.3373,0.5273
891f0c9b1b3ffff,9,10,7,0.1157,0.278,0.4806
891f0c9b1b7ffff,9,10,7,0.1863,0.3596,0.5646
891f0c9b1bbffff,9,10,7,0.0261,0.2039,0.4024
891f0c9b1c3ffff,9,10,7,0.3246,0.5173,0.7166
891f0c9b1c7ffff,9,10,7,0.3467,0.5174,0.7194
891f0c9b1cbffff,9,10,7,0.4629,0.6421,0.8384
891f0c9b1cfffff,9,10,7,0.3564,0.5247,0.723
891f0c9b1d3ffff,9,10,7,0.3791,0.5567,0.7617
891f0c9b1d7ffff,9,10,7,0.2247,0.405,0.604
891f0c9b1dbffff,9,10,7,0.4851,0.6646,0.8799
891f0c9b203ffff,9,10,7,0.422,0.5889,0.7917
891f0c9b207ffff,9,10,7,0.3481,0.5369,0.7437
891f0c9b20bffff,9,10,7,0.4969,0.6756,0.8719
891f0c9b20fffff,9,10,7,0.377,0.5623,0.7639
891f0c9b213ffff,9,10,7,0.3817,0.5547,0.7636
891f0c9b217ffff,9,10,7,0.3963,0.5774,0.782
891f0c9b21bffff,9,10,7,0.4493,0.6296,0.8249
891f0c9b223ffff,9,10,7,0.3213,0.5116,0.7033
891f0c9b227ffff,9,10,7,0.4307,0.6213,0.8104
891f0c9b22bffff,9,10,7,0.4229,0.602,0.8121
891f0c9b22fffff,9,10,7,0.4254,0.597,0.8003
891f0c9b233ffff,9,10,7,0.4477,0.6291,0.8229
891f0c9b237ffff,9,10,7,0.3979,0.584,0.786
891f0c9b23bffff,9,10,7,0.2826,0.4623,0.6784
891f0c9b243ffff,9,10,3,0.3757,0.572,0.773
891f0c9b247ffff,9,10,5,0.4582,0.6404,0.8336
891f0c9b253ffff,9,10,7,0.4316,0.6246,0.8179
891f0c9b257ffff,9,10,7,0.4449,0.6289,0.824
891f0c9b25bffff,9,10,3,0.4357,0.6077,0.8137
891f0c9b263ffff,9,10,5,0.4908,0.6706,0.8772
891f0c9b267ffff,9,10,7,0.464,0.646,0.8471
891f0c9b273ffff,9,10,7,0.3806,0.5767,0.7819
891f0c9b277ffff,9,10,7,0.4063,0.5939,0.7914
891f0c9b283ffff,9,10,7,0.3374,0.528,0.7349
891f0c9b287ffff,9,10,7,0.355,0.533,0.7399
891f0c9b28bffff,9,10,7,0.3353,0.5017,0.6916
891f0c9b28fffff,9,10,7,0.35,0.5293,0.7409
891f0c9b293ffff,9,10,7,0.329,0.5039,0.7076
891f0c9b297ffff,9,10,7,0.3141,0.495,0.6986
891f0c9b29bffff,9,10,7,0.3506,0.5326,0.7301
891f0c9b2a3ffff,9,10,7,0.4126,0.5917,0.7784
891f0c9b2a7ffff,9,10,7,0.348,0.5343,0.729
891f0c9b2abffff,9,10,7,0.3649,0.5394,0.7326
891f0c9b2afffff,9,10,7,0.3881,0.5681,0.7627
891f0c9b2b3ffff,9,10,7,0.457,0.6401,0.8436
891f0c9b2b7ffff,9,10,7,0.4374,0.6153,0.8117
891f0c9b2bbffff,9,10,7,0.3786,0.5674,0.7729
891f0c9b2c3ffff,9,10,7,0.4203,0.5977,0.8164
891f0c9b2c7ffff,9,10,7,0.379,0.5626,0.7721
891f0c9b2cbffff,9,10,7,0.4216,0.6089,0.81
891f0c9b2cfffff,9,10,7,0.468,0.6469,0.836
891f0c9b2d3ffff,9,10,7,0.4451,0.609,0.8024
891f0c9b2d7ffff,9,10,7,0.2976,0.477,0.672
891f0c9b2dbffff,9,10,7,0.4663,0.6443,0.8566
891f0c9b303ffff,9,10,7,0.2393,0.426,0.6286
891f0c9b307ffff,9,10,7,0.1801,0.3656,0.5756
891f0c9b30bffff,9,10,7,0.1697,0.3471,0.5543
891f0c9b30fffff,9,10,7,0.2029,0.3934,0.5891
891f0c9b313ffff,9,10,7,0.4994,0.6866,0.8737
891f0c9b317ffff,9,10,7,0.3067,0.4891,0.6919
891f0c9b31bffff,9,10,7,0.4337,0.6117,0.8096
891f0c9b323ffff,9,10,7,0.3343,0.507,0.7036
891f0c9b327ffff,9,10,1,0.207,0.398,0.588
891f0c9b32bffff,9,10,7,0.392,0.5724,0.765
891f0c9b333ffff,9,10,7,0.2206,0.4014,0.6036
891f0c9b337ffff,9,10,7,0.1803,0.3466,0.5389
891f0c9b33bffff,9,10,7,0.3314,0.5057,0.7133
891f0c9b343ffff,9,10,7,0.4034,0.5849,0.789
891f0c9b347ffff,9,10,7,0.3696,0.5431,0.7449
891f0c9b34bffff,9,10,7,0.511,0.6754,0.8776
891f0c9b34fffff,9,10,7,0.3813,0.5693,0.7726
891f0c9b353ffff,9,10,7,0.4129,0.6016,0.7961
891f0c9b357ffff,9,10,7,0.4327,0.6117,0.8201
891f0c9b35bffff,9,10,7,0.3927,0.5853,0.781
891f0c9b363ffff,9,10,7,0.4396,0.6191,0.8151
891f0c9b367ffff,9,10,7,0.4203,0.6114,0.8129
891f0c9b36bffff,9,10,7,0.4736,0.645,0.8514
891f0c9b36fffff,9,10,7,0.4519,0.6373,0.8357
891f0c9b373ffff,9,10,7,0.2617,0.446,0.6566
891f0c9b377ffff,9,10,7,0.3431,0.5211,0.7199
891f0c9b37bffff,9,10,7,0.3033,0.4801,0.6839
891f0c9b383ffff,9,10,7,0.5179,0.7041,0.884
891f0c9b387ffff,9,10,7,0.4906,0.6631,0.8594
891f0c9b38bffff,9,10,7,0.4439,0.6247,0.8259
891f0c9b38fffff,9,10,7,0.522,0.7101,0.894
891f0c9b393ffff,9,10,7,0.5449,0.7271,0.92
891f0c9b397ffff,9,10,7,0.4499,0.6367,0.8413
891f0c9b39bffff,9,10,7,0.518,0.7094,0.8916
891f0c9b3a3ffff,9,10,7,0.3034,0.48,0.6783
891f0c9b3a7ffff,9,10,7,0.1804,0.3674,0.5826
891f0c9b3abffff,9,10,7,0.2566,0.4313,0.6197
891f0c9b3afffff,9,10,7,0.2016,0.3844,0.5866
891f0c9b3b3ffff,9,10,7,0.4861,0.6676,0.8574
891f0c9b3b7ffff,9,10,7,0.3299,0.5116,0.7169
891f0c9b3bbffff,9,10,7,0.3823,0.5594,0.767
891f0c9b3c3ffff,9,10,7,0.3869,0.5576,0.7574
891f0c9b3c7ffff,9,10,7,0.3909,0.5734,0.767
891f0c9b3cbffff,9,10,7,0.393,0.5806,0.7944
