gc_name,source_name,display_name,geometry_type,theme,selection_note
gc_forest_share,forest_gd_v_skov_forest_bol_33_area_share,Forest,Polygon area share,Vegetation,Retained from 26-layer baseline as actual forest cover beyond fredskov
gc_coastal_zone_share,coastal_zone_kystnarhedszonen_3_km_miljoministeriet_plst_pdk_kystnaerhedszone_polygon_bor_32_area_share,Coastal zone (3 km),Polygon area share,Coast,Retained from 26-layer baseline to capture broad coastal influence
gc_coastline_length_m,coastline_gd_v_kyst_coast_line_bol_33_length_m,Coastline,Line length,Coast,Retained from 26-layer baseline to capture direct land-sea edge structure
gc_valuable_cultural_environment_share,valuable_cultural_environment_slks_area_share,Valuable cultural environment,Polygon area share,Culture,Retained from 26-layer baseline as complementary cultural-geographic signal
gc_highest_point_m,dhm_hoejdekurver_highest_point_m,Highest contour value,Continuous metric,Topography,Retained from 26-layer baseline to distinguish elevated terrain from locally rough terrain
gc_river_length_m,river_gd_v_vand_river_centre_bol_33_length_m,River length,Line length,Blue-green,Retained from 26-layer baseline to capture actual flowing-water structure
gc_sand_dune_share,sandklit_gd_v_sandklit_sanddune_bol_33_area_share,Sand dune,Polygon area share,Coast,Retained from 26-layer baseline to represent coastal geomorphology
gc_bes_naturtyper_share,bes_naturtyper_area_share,Protected nature types,Polygon area share,Blue-green,Retained from 26-layer baseline to capture semi-natural habitats
gc_mapped_nature_types_share,kortlaeg_naturtyper_fl_area_share,Mapped nature types,Polygon area share,Blue-green,Retained from 26-layer baseline as a complementary habitat mosaic signal
gc_industry_business_share,industry_business_gd_v_erhverv_business_industry_bol_33_area_share,Industry and business land,Polygon area share,Settlement,Retained from 26-layer baseline to capture non-residential built landscape character
gc_built_centre_share,built_centre_gd_v_bykerne_built_centre_bol_33_area_share,Built centre,Polygon area share,Settlement,Retained from 26-layer baseline to distinguish dense urban cores
gc_buildings_high_share,buildings_high_gd_v_buildings_high_bol_33_area_share,Buildings high,Polygon area share,Settlement,Retained from 26-layer baseline to capture vertical building intensity
gc_buildings_low_share,buildings_low_gd_v_buildings_low_bol_33_area_share,Buildings low,Polygon area share,Settlement,Retained from 26-layer baseline to capture dispersed low-rise built form
gc_strand_protection_share,strandbeskyttelse_miljostyrelsen_gds_mat2_strandbeskyttelse_merge_bor_32_area_share,Strand protection,Polygon area share,Coast,Retained from 26-layer baseline to strengthen the read of the protected coastal edge
gc_protected_areas_share,protected_areas_fredede_omrader_miljostyrelsen_st_mp_arealdata_fredede_omr_121224_diss_bor_32_area_share,Protected areas (fredede omrader),Polygon area share,Protected nature,Added to extend the legal and managed nature protection picture beyond the current coastal and freshwater safeguards
gc_natura_designated_land_share,natura_2000_specially_designated_land_areas_area_share,Natura 2000 specially designated land areas,Polygon area share,Protected nature,Added to test whether the broader protection mosaic improves landscape-character separation in high-value habitats
gc_natura_bird_protection_share,natura_2000_bird_protection_area_share,Natura 2000 bird protection,Polygon area share,Protected nature,Added as a targeted avifauna-sensitive protection layer complementing the broader habitat and reserve layers
gc_natura_habitat_areas_share,natura_2000_habitat_areas_dai_area_share,Natura 2000 habitat areas,Polygon area share,Protected nature,Added as a core biodiversity protection layer with distinct emphasis from other reserve layers
gc_natura_ramsar_share,natura_2000_ramsar_area_share,Natura 2000 Ramsar areas,Polygon area share,Protected nature,Added to capture internationally recognized wetland protection structure not present in the 26-layer baseline
gc_natur_vildt_reservat_share,natur_vildt_reservat_area_share,Nature and wildlife reserves,Polygon area share,Protected nature,Added as a practical reserve-management layer complementing Natura and fredede omrader
gc_aviation_approach_share,aviation_approach_zones_tst_area_share,Aviation approach zones,Polygon area share,Restriction,Added to test whether air-safety planning corridors create a meaningful landscape-constraint signal
gc_aviation_bird_collision_share,aviation_bird_collision_zones_tst_area_share,Aviation bird-collision zones,Polygon area share,Restriction,Added as a conflict layer between air-safety planning and ecological structure
gc_military_areas_share,militara_omraden_plst_area_share,Military areas,Polygon area share,Restriction,Added to represent hard-use restrictions and distinct land-management enclaves
gc_ferry_routes_length_m,ferry_routes_osm_route_ferry_extract101224_bol_ns_length_m,Ferry routes,Line length,Access,Added to capture Bornholm maritime access corridors and offshore connectivity frame
gc_built_low_selection_share,built_low_gd_v_buildings_low_selection_by_bol_33_area_share,Built low selection,Polygon area share,Settlement,Added to test whether the curated low-density built selection adds a cleaner dispersed-settlement signal than the full buildings-low layer alone
gc_jordart_share,jordart_25000_v7_1_area_share,Surficial geology (Jordart 1:25k),Polygon area share,Geology,Added provisionally as a parent geology coverage layer; likely to need later subtype splits because the full polygon cover may be near-complete across land
gc_prekvart_share,prekvart_bornholm_area_share,Bedrock geology (Prekvart Bornholm),Polygon area share,Geology,Added provisionally as a parent bedrock coverage layer; likely to need later subtype splits because the full polygon cover may be near-complete across land
