hex_id,h3_resolution,acceptance_low,acceptance_medium,acceptance_high,data_status,method_version
870800433ffffff,7,0.332,0.495,0.695,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800434ffffff,7,0.283,0.459,0.634,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800435ffffff,7,0.238,0.39,0.578,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800436ffffff,7,0.195,0.398,0.581,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800440ffffff,7,0.257,0.42,0.605,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800441ffffff,7,0.48,0.679,0.898,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800442ffffff,7,0.319,0.502,0.672,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800443ffffff,7,0.334,0.499,0.689,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800444ffffff,7,0.351,0.542,0.735,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800445ffffff,7,0.298,0.489,0.693,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800446ffffff,7,0.026,0.228,0.4,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800448ffffff,7,0.302,0.506,0.678,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800449ffffff,7,0.398,0.589,0.762,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080044affffff,7,0.303,0.482,0.688,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080044bffffff,7,0.23,0.395,0.586,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080044cffffff,7,0.366,0.536,0.712,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080044dffffff,7,0.321,0.479,0.661,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080044effffff,7,0.29,0.442,0.647,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800450ffffff,7,0.319,0.517,0.713,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800451ffffff,7,0.483,0.681,0.863,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800452ffffff,7,0.301,0.498,0.713,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800453ffffff,7,0.308,0.501,0.671,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800454ffffff,7,0.311,0.462,0.649,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800455ffffff,7,0.608,0.773,0.989,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800456ffffff,7,0.27,0.432,0.661,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800458ffffff,7,0.326,0.502,0.675,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800459ffffff,7,0.133,0.286,0.47,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080045affffff,7,0.264,0.416,0.645,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080045bffffff,7,0.344,0.504,0.713,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080045cffffff,7,0.32,0.487,0.692,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080045dffffff,7,0.436,0.592,0.792,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080045effffff,7,0.428,0.605,0.835,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800461ffffff,7,0.273,0.471,0.681,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800462ffffff,7,0.174,0.329,0.52,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800463ffffff,7,0.239,0.415,0.642,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800464ffffff,7,0.363,0.554,0.782,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800466ffffff,7,0.276,0.447,0.657,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800468ffffff,7,0.359,0.557,0.744,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800469ffffff,7,0.273,0.426,0.632,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080046affffff,7,0.455,0.628,0.846,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080046bffffff,7,0.317,0.496,0.682,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080046cffffff,7,0.322,0.495,0.698,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080046dffffff,7,0.417,0.584,0.763,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080046effffff,7,0.34,0.527,0.723,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800470ffffff,7,0.377,0.527,0.746,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800471ffffff,7,0.232,0.423,0.638,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800472ffffff,7,0.283,0.455,0.653,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800473ffffff,7,0.304,0.479,0.661,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800474ffffff,7,0.216,0.416,0.587,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800475ffffff,7,0.303,0.5,0.729,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800476ffffff,7,0.337,0.488,0.668,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800480ffffff,7,0.237,0.411,0.618,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800481ffffff,7,0.351,0.518,0.726,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800482ffffff,7,0.385,0.583,0.763,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800483ffffff,7,0.374,0.556,0.733,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800484ffffff,7,0.27,0.451,0.631,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800485ffffff,7,0.464,0.616,0.815,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800486ffffff,7,0.136,0.326,0.527,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800488ffffff,7,0.39,0.553,0.759,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800489ffffff,7,0.322,0.521,0.692,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080048affffff,7,0.119,0.289,0.462,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080048bffffff,7,0.394,0.546,0.723,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080048cffffff,7,0.328,0.509,0.725,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080048dffffff,7,0.211,0.408,0.628,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080048effffff,7,0.267,0.452,0.68,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800490ffffff,7,0.253,0.413,0.63,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800491ffffff,7,0.369,0.526,0.722,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800492ffffff,7,0.169,0.34,0.564,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800493ffffff,7,0.174,0.367,0.582,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800494ffffff,7,0.222,0.409,0.609,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800495ffffff,7,0.226,0.42,0.614,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800496ffffff,7,0.257,0.454,0.631,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800498ffffff,7,0.24,0.399,0.571,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800499ffffff,7,0.291,0.469,0.65,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080049affffff,7,0.204,0.381,0.587,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080049bffffff,7,0.297,0.449,0.657,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080049cffffff,7,0.173,0.367,0.556,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080049dffffff,7,0.147,0.349,0.576,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080049effffff,7,0.278,0.486,0.673,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004a0ffffff,7,0.199,0.392,0.618,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004a1ffffff,7,0.237,0.423,0.619,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004a2ffffff,7,0.334,0.535,0.758,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004a3ffffff,7,0.336,0.534,0.75,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004a4ffffff,7,0.197,0.378,0.56,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004a5ffffff,7,0.076,0.283,0.493,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004a6ffffff,7,0.232,0.392,0.614,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004a8ffffff,7,0.205,0.37,0.551,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004a9ffffff,7,0.316,0.501,0.722,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004aaffffff,7,0.194,0.379,0.552,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004abffffff,7,0.179,0.373,0.575,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004acffffff,7,0.317,0.513,0.711,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004adffffff,7,0.358,0.558,0.766,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004aeffffff,7,0.092,0.248,0.429,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004b0ffffff,7,0.345,0.524,0.702,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004b1ffffff,7,0.309,0.509,0.689,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004b2ffffff,7,0.0,0.145,0.367,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004b3ffffff,7,0.482,0.643,0.828,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004b4ffffff,7,0.182,0.352,0.582,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004b5ffffff,7,0.212,0.377,0.585,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004b6ffffff,7,0.148,0.306,0.506,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004c0ffffff,7,0.253,0.458,0.633,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004c1ffffff,7,0.178,0.386,0.583,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004c2ffffff,7,0.279,0.485,0.691,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004c3ffffff,7,0.186,0.367,0.595,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004c4ffffff,7,0.216,0.412,0.593,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004c5ffffff,7,0.357,0.55,0.766,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004c6ffffff,7,0.289,0.499,0.675,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004c8ffffff,7,0.3,0.482,0.67,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004c9ffffff,7,0.15,0.321,0.506,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004caffffff,7,0.0,0.122,0.335,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004cbffffff,7,0.325,0.501,0.705,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004ccffffff,7,0.058,0.209,0.405,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004cdffffff,7,0.198,0.375,0.582,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004ceffffff,7,0.308,0.471,0.657,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004d0ffffff,7,0.186,0.394,0.588,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004d1ffffff,7,0.14,0.346,0.522,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004d2ffffff,7,0.204,0.392,0.566,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004d3ffffff,7,0.27,0.457,0.679,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004d4ffffff,7,0.0,0.142,0.32,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004d5ffffff,7,0.318,0.501,0.702,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004d6ffffff,7,0.373,0.529,0.755,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004d8ffffff,7,0.09,0.299,0.511,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004d9ffffff,7,0.266,0.428,0.642,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004daffffff,7,0.241,0.404,0.616,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004dbffffff,7,0.0,0.137,0.332,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004dcffffff,7,0.259,0.448,0.665,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004ddffffff,7,0.107,0.289,0.476,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004deffffff,7,0.286,0.489,0.69,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004e0ffffff,7,0.232,0.411,0.606,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004e1ffffff,7,0.275,0.46,0.686,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004e2ffffff,7,0.242,0.426,0.648,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004e3ffffff,7,0.346,0.521,0.709,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004e4ffffff,7,0.273,0.469,0.671,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004e5ffffff,7,0.339,0.525,0.722,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004e6ffffff,7,0.174,0.349,0.536,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004e8ffffff,7,0.363,0.536,0.732,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004e9ffffff,7,0.364,0.56,0.741,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004eaffffff,7,0.142,0.316,0.519,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004ebffffff,7,0.205,0.362,0.553,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004ecffffff,7,0.234,0.388,0.616,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004edffffff,7,0.202,0.378,0.551,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004eeffffff,7,0.22,0.378,0.589,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004f0ffffff,7,0.353,0.507,0.684,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004f1ffffff,7,0.252,0.425,0.643,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004f2ffffff,7,0.126,0.328,0.54,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004f3ffffff,7,0.356,0.524,0.737,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004f4ffffff,7,0.339,0.525,0.706,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004f5ffffff,7,0.158,0.338,0.54,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708004f6ffffff,7,0.159,0.363,0.587,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800502ffffff,7,0.568,0.763,0.966,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800503ffffff,7,0.37,0.571,0.795,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800508ffffff,7,0.408,0.578,0.802,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080050affffff,7,0.446,0.611,0.807,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080050bffffff,7,0.339,0.497,0.699,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080050effffff,7,0.435,0.608,0.825,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800510ffffff,7,0.319,0.473,0.645,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800511ffffff,7,0.309,0.475,0.705,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800512ffffff,7,0.331,0.535,0.706,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800513ffffff,7,0.25,0.41,0.618,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800514ffffff,7,0.349,0.539,0.717,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800515ffffff,7,0.24,0.446,0.669,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800516ffffff,7,0.219,0.428,0.652,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800518ffffff,7,0.272,0.475,0.67,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800519ffffff,7,0.248,0.426,0.652,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080051affffff,7,0.228,0.435,0.613,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080051bffffff,7,0.423,0.619,0.84,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080051cffffff,7,0.58,0.782,0.97,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080051dffffff,7,0.339,0.525,0.742,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080051effffff,7,0.382,0.552,0.762,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800532ffffff,7,0.263,0.447,0.628,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800548ffffff,7,0.445,0.601,0.819,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080054affffff,7,0.5,0.664,0.856,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080054bffffff,7,0.33,0.501,0.728,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080054effffff,7,0.636,0.817,1.0,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800552ffffff,7,0.472,0.657,0.85,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800553ffffff,7,0.584,0.759,0.941,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800556ffffff,7,0.588,0.774,0.988,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800558ffffff,7,0.41,0.608,0.796,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800559ffffff,7,0.376,0.582,0.811,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080055affffff,7,0.42,0.573,0.797,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080055bffffff,7,0.348,0.536,0.716,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080055dffffff,7,0.317,0.512,0.694,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080055effffff,7,0.375,0.528,0.743,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800580ffffff,7,0.228,0.43,0.627,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800581ffffff,7,0.144,0.344,0.541,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800582ffffff,7,0.343,0.538,0.756,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800583ffffff,7,0.369,0.556,0.735,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800584ffffff,7,0.307,0.473,0.695,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800585ffffff,7,0.255,0.445,0.653,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800586ffffff,7,0.412,0.595,0.801,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800588ffffff,7,0.273,0.441,0.616,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800589ffffff,7,0.243,0.421,0.601,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
